Country or Area,Commodity - Transaction,Year,Quantity,perc
Saudi Arabia,Conventional crude oil - exports,2021,309427.3,25.70800718649108
Russian Federation,Conventional crude oil - exports,2021,231600.0,19.2419171301024
Canada,Conventional crude oil - exports,2021,158229.761,13.146131039196495
United States,Conventional crude oil - exports,2021,146840.1,12.199849030984238
Norway,Conventional crude oil - exports,2021,78436.822,6.516730694613958
Mexico,Conventional crude oil - exports,2021,54053.0,4.490860736759175
Angola,Conventional crude oil - exports,2021,52305.8561,4.345703577267966
Oman,Conventional crude oil - exports,2021,38688.1,3.214305760453863
Colombia,Conventional crude oil - exports,2021,31785.0,2.640778652764701
United Kingdom,Conventional crude oil - exports,2021,30349.154,2.5214849146663028
Ecuador,Conventional crude oil - exports,2021,16323.685,1.3562132730047305
Australia,Conventional crude oil - exports,2021,12216.443,1.0149731598904124
Ghana,Conventional crude oil - exports,2021,7916.55,0.6577271116421077
Bahrain,Conventional crude oil - exports,2021,7449.0,0.6188818683166355
Equatorial Guinea,Conventional crude oil - exports,2021,7073.0,0.5876428318705279
Chad,Conventional crude oil - exports,2021,6400.0,0.531728279933745
Viet Nam,Conventional crude oil - exports,2021,3130.0,0.26004836190509717
Argentina,Conventional crude oil - exports,2021,3077.0,0.25564498708689587
Trinidad and Tobago,Conventional crude oil - exports,2021,3062.337,0.2544267477480414
Papua New Guinea,Conventional crude oil - exports,2021,1000.0,0.08308254373964767
Denmark,Conventional crude oil - exports,2021,855.0,0.07103557489739876
Thailand,Conventional crude oil - exports,2021,804.76,0.06686150789991885
New Zealand,Conventional crude oil - exports,2021,588.0,0.04885253571891283
Albania,Conventional crude oil - exports,2021,547.8,0.04551261746057898
Netherlands,Conventional crude oil - exports,2021,315.54,0.026215865851608428
Belgium,Conventional crude oil - exports,2021,192.2,0.01596846490676028
Poland,Conventional crude oil - exports,2021,180.628,0.015007033710605078
Italy,Conventional crude oil - exports,2021,174.026,0.014458522756835927
Hungary,Conventional crude oil - exports,2021,134.0,0.011133060861112787
Ukraine,Conventional crude oil - exports,2021,90.0,0.0074774289365682894
Philippines,Conventional crude oil - exports,2021,86.3,0.0071700235247315934
Greece,Conventional crude oil - exports,2021,85.057,0.007066751922863212
France,Conventional crude oil - exports,2021,76.208,0.00633155449331107
Barbados,Conventional crude oil - exports,2021,47.5177304964539,0.00394789392238042
Romania,Conventional crude oil - exports,2021,34.0,0.0028248064871480207
Lithuania,Conventional crude oil - exports,2021,26.7,0.0022183039178485927
Belize,Conventional crude oil - exports,2021,10.4964539007092,0.0008720720903168675
Kyrgyzstan,Conventional crude oil - exports,2021,6.0,0.000498495262437886
Slovakia,Conventional crude oil - exports,2021,4.771,0.000396386816181859
Slovenia,Conventional crude oil - exports,2021,0.159,1.3210124454603978e-05
