Source;Target;Type;Weight
20646457;133671478;Directed;2
20646457;24722855;Directed;3
20646457;27954163;Directed;2
20646457;22757663;Directed;2
20646457;304958060;Directed;1
20646457;214256570;Directed;1
20646457;191141576;Directed;1
20646457;5223701;Directed;1
20646457;20099281;Directed;3
20646457;95033733;Directed;3
20646457;88445970;Directed;3
20646457;59073534;Directed;2
20646457;5804752;Directed;1
20646457;93398485;Directed;1
20646457;27867782;Directed;1
20646457;15138496;Directed;2
20646457;17211001;Directed;1
20646457;94347411;Directed;1
20646457;244437560;Directed;1
20646457;39723677;Directed;1
20646457;252982376;Directed;2
20646457;20471650;Directed;1
20646457;116523372;Directed;3
20646457;14352473;Directed;2
20646457;58738913;Directed;1
20646457;10943;Directed;1
20646457;1302051;Directed;2
109562464;63293;Directed;1
109562464;63283;Directed;1
109562464;236902913;Directed;2
109562464;15037028;Directed;2
109562464;15254157;Directed;3
109562464;257396357;Directed;3
109562464;15248126;Directed;3
109562464;249867294;Directed;2
109562464;17894832;Directed;1
109562464;95713774;Directed;2
109562464;26974807;Directed;1
109562464;282087400;Directed;1
109562464;295645137;Directed;1
109562464;327267975;Directed;2
109562464;133671478;Directed;2
109562464;24722855;Directed;1
109562464;27954163;Directed;3
109562464;5223701;Directed;3
109562464;20975289;Directed;1
109562464;21025876;Directed;1
109562464;290708944;Directed;3
109562464;27867782;Directed;1
109562464;15138496;Directed;1
109562464;20990789;Directed;3
109562464;17211001;Directed;1
109562464;22003601;Directed;3
109562464;88899794;Directed;2
109562464;19389413;Directed;1
109562464;34650496;Directed;1
42428580;17647430;Directed;1
42428580;32416061;Directed;1
42428580;14845783;Directed;1
42428580;191004748;Directed;3
42428580;61502712;Directed;3
42428580;49430094;Directed;3
42428580;213408766;Directed;2
42428580;17870064;Directed;1
42428580;10161492;Directed;1
42428580;16856080;Directed;1
42428580;94154580;Directed;1
42428580;14223773;Directed;1
42428580;20611257;Directed;3
42428580;27008946;Directed;3
42428580;20692623;Directed;3
42428580;63283;Directed;1
42428580;53017241;Directed;1
42428580;332757341;Directed;1
42428580;119522971;Directed;1
42428580;41554259;Directed;1
42428580;236902913;Directed;2
42428580;320140078;Directed;2
42428580;14002442;Directed;2
42428580;27694668;Directed;3
42428580;15037028;Directed;2
42428580;117544658;Directed;1
42428580;19978588;Directed;1
42428580;15254157;Directed;1
42428580;1451621;Directed;1
42428580;16440349;Directed;2
42428580;87000390;Directed;2
42428580;221311019;Directed;3
42428580;249121666;Directed;3
42428580;257396357;Directed;3
42428580;15248126;Directed;3
42428580;249867294;Directed;2
42428580;120389940;Directed;1
42428580;119361818;Directed;1
42428580;67546984;Directed;2
42428580;249637750;Directed;1
42428580;126733456;Directed;1
42428580;139013475;Directed;2
42428580;617713;Directed;3
42428580;4308031;Directed;3
42428580;33452745;Directed;3
42428580;174194582;Directed;2
